City/town,qty
Visakhapatnam,2416.593629
Guntur,3020.742036
Kadapa,1812.445221
Kurnool,1208.296814
Guwhati,1155.762074
Goalpara,577.881037
Goalpara,577.881037
Tezpur,462.3048296
Silchar,346.7286222
Aurangabad,14.19207179
Bhagalpur,17.74008974
ChamparanEast,7.096035897
Darbangha,10.64405385
Mazaffanagar,10.64405385
Patna,39.02819744
Purnia,28.38414359
Saran,10.64405385
Raipur,1513.789511
Bastar,567.6710667
Sarguja,473.0592222
Kurukshetra,800.5724842
Gurgaon,667.1437368
Hisar,533.7149895
Rohtak,533.7149895
Shimla,228.8200667
Mandi,228.8200667
Dharamshala,228.8200667
Deoghar,549.8022333
Ranchi,2749.011167
Banglore,1053.36719
Chitradurga,842.6937517
Gulbarga,842.6937517
Manglore,632.0203138
Mysore,1053.36719
Belgaum,842.6937517
Bagalkote,842.6937517
Thiruvanantapuram,954.4588857
Eranakulam,1193.073607
Calicut(Khozikode),1193.073607
Bhopal,1162.028944
Gwalior,1162.028944
Indore,1162.028944
Jabalpur,1162.028944
Sagar,726.26809
Ujjain,581.014472
Ratlam,435.760854
Rewa,871.521708
Thane,1248.6037
Nashik,1560.754625
Pune,936.452775
Kolhapur,1248.6037
Aurangabad,1248.6037
Latur,1560.754625
Akola,1560.754625
Nagpur,1872.90555
Bhubaneswar,1259.22654
Balasore,559.65624
Bolangir,559.65624
Ganjam,279.82812
Kandhamal,279.82812
Koraput,559.65624
Sundargarh,279.82812
Samablpur,419.74218
Amritsar,1664.60028
Ferozepur,693.58345
Hoshiarpur,416.15007
Jaipur,1038.612682
Ajmer,830.8901455
Kota,830.8901455
Bharatpur,830.8901455
Bikaner,830.8901455
Jodhpur,1246.335218
Udaipur,1246.335218
Chennai,676.3784063
Vellore,676.3784063
Cuddalore,450.9189375
Trichy,1578.216281
Madurai,901.837875
Sivaganga,450.9189375
Tirunelveli,901.837875
Coimbatore,676.3784063
Salem,901.837875
Nizamabad,1691.61554
Warangal,2537.42331
Hyderabad,4229.03885
Agartala,367.3917
Lucknow,1577.46585
Devipatan,1051.6439
Faizabad,1314.554875
Agra,1051.6439
Aligarh,1051.6439
Bundelkhand,788.732925
Allahabad,1051.6439
Azamgarh,788.732925
Vindhyachal,788.732925
Varanasi,1051.6439
Kanpur,1577.46585
Chitrakoot,1051.6439
Bareilly,1051.6439
Moradabad,1314.554875
Meerut,1577.46585
Saharanpur,788.732925
Basti,788.732925
Gorakhpur,1314.554875
Almora,232.7605846
Srinagar,232.7605846
USNagar,232.7605846
Dehradun,310.3474462
